sex,race,age,reincarcerated,state
Male,White,23,TRUE,Iowa
Male,White,19.1,FALSE,Iowa
Female,White,23.6,FALSE,Iowa
Male,Black,32.8,FALSE,Iowa
Female,White,33.5,FALSE,Iowa
Female,White,43.1,FALSE,Iowa
Male,Black,20.7,TRUE,Iowa
Male,Hispanic,27.9,FALSE,Iowa
Male,Black,24.6,FALSE,Iowa
Male,Black,37.7,FALSE,Iowa
Male,White,23.1,FALSE,Iowa
Male,White,19.3,FALSE,Iowa
Male,White,30.3,FALSE,Iowa
Male,White,26.1,FALSE,Iowa
Male,White,54.3,FALSE,Iowa
Male,Black,54.5,TRUE,Iowa
Female,Hispanic,59,FALSE,Iowa
Male,White,25.1,FALSE,Iowa
Female,White,20.1,FALSE,Iowa
Male,White,24.3,FALSE,Iowa
Male,White,21.6,FALSE,Iowa
Female,White,23.2,FALSE,Iowa
Female,White,31.9,FALSE,Iowa
Male,Black,34.4,FALSE,Iowa
Male,White,18.4,FALSE,Iowa
Female,White,27,FALSE,Iowa
Male,Hispanic,29.6,TRUE,Iowa
Male,White,24.7,FALSE,Iowa
Male,White,34.6,FALSE,Iowa
Male,White,42.7,FALSE,Iowa
Male,Black,30.8,TRUE,Iowa
Female,American Indian or Alaska Native,43.4,FALSE,Iowa
Male,White,35.2,FALSE,Iowa
Male,White,49.1,FALSE,Iowa
Male,White,54.8,FALSE,Iowa
Male,White,45.9,TRUE,Iowa
Male,White,47.1,TRUE,Iowa
Male,White,43.4,FALSE,Iowa
Female,White,48.5,FALSE,Iowa
Male,White,42.1,FALSE,Iowa
Male,White,44,FALSE,Iowa
Male,White,40,TRUE,Iowa
Female,White,50.4,TRUE,Iowa
Female,White,34.5,FALSE,Iowa
Female,White,47.9,FALSE,Iowa
Male,White,33.7,FALSE,Iowa
Female,White,23.9,FALSE,Iowa
Male,White,31.9,FALSE,Iowa
Male,Black,36.5,FALSE,Iowa
Male,White,19.8,FALSE,Iowa
Female,White,19.5,FALSE,Iowa
Male,White,22.2,FALSE,Iowa
Male,White,19.7,TRUE,Iowa
Female,White,32.7,FALSE,Iowa
Male,White,26,FALSE,Iowa
Female,White,20.2,FALSE,Iowa
Female,White,31.3,FALSE,Iowa
Male,White,44,FALSE,Iowa
Male,White,21.9,FALSE,Iowa
Female,White,33.6,FALSE,Iowa
Male,White,36.7,FALSE,Iowa
Male,White,48.9,FALSE,Iowa
Female,White,33.7,FALSE,Iowa
Male,Black,35.5,FALSE,Iowa
Female,White,51.9,FALSE,Iowa
Male,White,37.4,FALSE,Iowa
Female,Black,19.8,FALSE,Iowa
Male,Black,24.1,FALSE,Iowa
Male,White,21.7,FALSE,Iowa
Female,White,19,FALSE,Iowa
Male,Black,35,TRUE,Iowa
Female,White,24.9,FALSE,Iowa
Male,White,54.4,FALSE,Iowa
Male,White,27.3,FALSE,Iowa
Male,Black,32.5,FALSE,Iowa
Male,White,20.6,TRUE,Iowa
Male,White,42.1,FALSE,Iowa
Male,White,50.5,FALSE,Iowa
Male,Black,27.4,TRUE,Iowa
Male,White,19.6,FALSE,Iowa
Female,Black,40.1,FALSE,Iowa
Male,White,23.6,TRUE,Iowa
Male,White,63.8,FALSE,Iowa
Male,White,35.7,FALSE,Iowa
Male,Black,27.6,FALSE,Iowa
Male,White,19.1,FALSE,Iowa
Male,Black,34.5,TRUE,Iowa
Male,White,26,FALSE,Iowa
Male,White,26,FALSE,Iowa
Male,White,29,FALSE,Iowa
Male,White,42.5,FALSE,Iowa
Male,Black,33.1,FALSE,Iowa
Female,White,41,TRUE,Iowa
Female,Other,24.2,FALSE,Iowa
Male,White,28.6,FALSE,Iowa
Female,White,24.3,FALSE,Iowa
Female,White,51.6,FALSE,Iowa
Male,Black,20.1,TRUE,Iowa
Male,White,22.1,FALSE,Iowa
Male,Hispanic,22.5,FALSE,Iowa
Male,White,24.2,FALSE,Iowa
Female,White,33.3,FALSE,Iowa
Male,White,20.1,FALSE,Iowa
Female,White,46.8,FALSE,Iowa
Male,Black,20.7,FALSE,Iowa
Male,White,39.7,FALSE,Iowa
Male,Black,48.1,FALSE,Iowa
Male,White,49.1,FALSE,Iowa
Male,White,52.5,FALSE,Iowa
Male,White,47.2,FALSE,Iowa
Male,White,43,FALSE,Iowa
Male,White,42.8,FALSE,Iowa
Male,Black,58.8,TRUE,Iowa
Male,White,52.4,FALSE,Iowa
Male,White,60.7,FALSE,Iowa
Male,White,46.7,FALSE,Iowa
Male,White,44.8,FALSE,Iowa
Female,White,51.6,FALSE,Iowa
Male,Hispanic,41.1,FALSE,Iowa
Male,White,36.5,FALSE,Iowa
Male,White,34.8,FALSE,Iowa
Male,White,50.3,FALSE,Iowa
Male,White,34.5,FALSE,Iowa
Male,White,25.8,TRUE,Iowa
Male,Black,19.7,TRUE,Iowa
Male,Hispanic,26.1,FALSE,Iowa
Female,White,25.4,FALSE,Iowa
Female,White,19.7,FALSE,Iowa
Female,White,29.1,FALSE,Iowa
Female,White,24,FALSE,Iowa
Male,Asian or Pacific Islander,28.8,FALSE,Iowa
Female,White,29.8,FALSE,Iowa
Female,White,33.7,FALSE,Iowa
Male,White,24.2,FALSE,Iowa
Male,Black,27.5,TRUE,Iowa
Male,White,23.6,FALSE,Iowa
Male,White,39.1,FALSE,Iowa
Male,White,22.8,FALSE,Iowa
Male,Asian or Pacific Islander,38.4,FALSE,Iowa
Male,White,18.3,FALSE,Iowa
Female,Black,22.8,FALSE,Iowa
Male,White,19.1,FALSE,Iowa
Female,White,32.5,TRUE,Iowa
Male,White,18.8,FALSE,Iowa
Female,Hispanic,18.9,FALSE,Iowa
Female,Black,43.4,FALSE,Iowa
Male,White,26.4,FALSE,Iowa
Male,White,24.5,FALSE,Iowa
Male,Asian or Pacific Islander,26.6,FALSE,Iowa
Female,Black,20.2,TRUE,Iowa
Female,White,28.3,FALSE,Iowa
Female,Black,42.7,FALSE,Iowa
Male,Black,31.5,FALSE,Iowa
Male,White,36.3,FALSE,Iowa
Female,White,22.1,FALSE,Iowa
Male,Black,27.8,FALSE,Iowa
Female,White,38.9,FALSE,Iowa
Male,White,29.6,FALSE,Iowa
Male,White,53.3,FALSE,Iowa
Female,White,42.5,FALSE,Iowa
Male,White,22.8,FALSE,Iowa
Female,White,35.9,FALSE,Iowa
Male,White,19.4,FALSE,Iowa
Female,American Indian or Alaska Native,20.8,FALSE,Iowa
Male,White,22.2,FALSE,Iowa
Male,White,22.5,FALSE,Iowa
Male,White,22.7,FALSE,Iowa
Female,White,20.6,FALSE,Iowa
Female,Other,25.9,FALSE,Iowa
Female,White,31.8,FALSE,Iowa
Male,White,21.1,FALSE,Iowa
Female,White,38.2,FALSE,Iowa
Female,White,18.7,FALSE,Iowa
Male,White,33.4,FALSE,Iowa
Male,White,44.3,FALSE,Iowa
Male,White,45.9,FALSE,Iowa
Male,Hispanic,31.8,FALSE,Iowa
Male,White,18.1,FALSE,Iowa
Female,White,25.6,FALSE,Iowa
Male,White,29.2,TRUE,Iowa
Female,White,22.8,FALSE,Iowa
Male,White,26.6,FALSE,Iowa
Male,White,20.8,FALSE,Iowa
Male,White,36.1,FALSE,Iowa
Male,White,33,TRUE,Iowa
Male,White,22,FALSE,Iowa
Male,White,32.7,FALSE,Iowa
Male,White,28.7,TRUE,Iowa
Female,White,49.5,TRUE,Iowa
Female,White,48,FALSE,Iowa
Male,White,46.3,FALSE,Iowa
Male,White,39.5,FALSE,Iowa
Male,White,40.3,FALSE,Iowa
Female,White,45.1,FALSE,Iowa
Male,Black,42.4,TRUE,Iowa
Male,White,20.5,FALSE,Iowa
Female,White,25.5,FALSE,Iowa
Female,White,35.1,FALSE,Iowa
Male,White,18.3,TRUE,Iowa
Male,White,37.7,FALSE,Iowa
Male,White,23.8,FALSE,Iowa
Female,White,23.1,FALSE,Iowa
Male,White,51.1,FALSE,Iowa
Male,White,28.3,FALSE,Iowa
Male,White,36.2,TRUE,Iowa
Male,White,29.2,FALSE,Iowa
Male,White,35.2,TRUE,Iowa
Male,Black,30.5,FALSE,Iowa
Female,White,27.2,FALSE,Iowa
Male,Hispanic,27.7,FALSE,Iowa
Male,Black,24.8,FALSE,Iowa
Female,White,48,FALSE,Iowa
Male,White,50.2,FALSE,Iowa
Female,White,18.4,FALSE,Iowa
Male,White,19.4,FALSE,Iowa
Male,White,67.2,FALSE,Iowa
Male,White,30.1,FALSE,Iowa
Male,White,32.8,TRUE,Iowa
Male,White,22,FALSE,Iowa
Male,White,33.2,FALSE,Iowa
Male,White,28.8,FALSE,Iowa
Female,Other,19.1,FALSE,Iowa
Male,Black,44.4,FALSE,Iowa
Female,White,18.7,FALSE,Iowa
Female,Hispanic,21.6,FALSE,Iowa
Male,White,25.4,FALSE,Iowa
Male,Black,30.2,FALSE,Iowa
Female,White,20.6,FALSE,Iowa
Male,White,34,FALSE,Iowa
Male,Black,30.5,FALSE,Iowa
Female,White,40.5,FALSE,Iowa
Male,White,46.9,FALSE,Iowa
Male,White,56.1,FALSE,Iowa
Male,White,21,FALSE,Iowa
Male,Hispanic,22.9,FALSE,Iowa
Male,Black,49,FALSE,Iowa
Male,White,59,FALSE,Iowa
Male,White,43.6,FALSE,Iowa
Male,Hispanic,44.4,FALSE,Iowa
Male,White,53.2,FALSE,Iowa
Male,Black,41.9,FALSE,Iowa
Male,White,40.4,FALSE,Iowa
Male,White,49.8,FALSE,Iowa
Female,White,37.2,FALSE,Iowa
Male,Hispanic,18.6,FALSE,Iowa
Female,White,27.1,FALSE,Iowa
Male,White,24,FALSE,Iowa
Male,White,29.8,TRUE,Iowa
Male,White,33,FALSE,Iowa
Male,White,23.6,FALSE,Iowa
Female,White,51,FALSE,Iowa
Male,American Indian or Alaska Native,29.1,FALSE,Iowa
Male,White,49.9,FALSE,Iowa
Female,White,26.2,FALSE,Iowa
Male,Black,22.5,FALSE,Iowa
